Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,
Dallas Mavericks,106,Memphis Grizzlies,91,,,,,,
Philadelphia 76ers,103,Oklahoma City Thunder,109,,,,,,
Los Angeles Clippers,95,San Antonio Spurs,107,,,,,,
Minnesota Timberwolves,98,Sacramento Kings,89,,,,,,
Golden State Warriors,90,Chicago Bulls,120,,,,,,
Boston Celtics,112,Miami Heat,107,,,,,,
Los Angeles Lakers,112,Denver Nuggets,118,,,,,,
Utah Jazz,90,Atlanta Hawks,86,,,,,,
Houston Rockets,102,Indiana Pacers,99,,,,,,
Toronto Raptors,110,Orlando Magic,106,,,,,,
Charlotte Bobcats,93,Washington Wizards,85,,,,,,
New York Knicks,103,Minnesota Timberwolves,112,,,,,,
Philadelphia 76ers,90,Dallas Mavericks,99,,,,,,
Sacramento Kings,89,Phoenix Suns,103,,,,,,
Portland Trail Blazers,108,Oklahoma City Thunder,110,,,,,,
Detroit Pistons,113,Los Angeles Clippers,107,,,,,,
Utah Jazz,96,Charlotte Bobcats,95,,,,,,
Orlando Magic,91,New Jersey Nets,90,,,,,,
Indiana Pacers,99,Cleveland Cavaliers,85,,,,,,
Toronto Raptors,100,Miami Heat,109,,,,,,
Washington Wizards,96,Chicago Bulls,103,,,,,,
Boston Celtics,116,Memphis Grizzlies,110,,,,,,
Portland Trail Blazers,87,New Orleans Hornets,107,,,,,,
Golden State Warriors,72,Milwaukee Bucks,79,,,,,,
Philadelphia 76ers,93,San Antonio Spurs,116,,,,,,
Minnesota Timberwolves,105,Atlanta Hawks,111,,,,,,
Detroit Pistons,100,Sacramento Kings,94,,,,,,
San Antonio Spurs,117,Oklahoma City Thunder,104,,,,,,
Houston Rockets,104,New York Knicks,96,,,,,,
Phoenix Suns,121,Los Angeles Lakers,116,,,,,,
Minnesota Timberwolves,110,Charlotte Bobcats,113,,,,,,
Memphis Grizzlies,72,Orlando Magic,89,,,,,,
New Orleans Hornets,95,Dallas Mavericks,98,,,,,,
Denver Nuggets,94,Phoenix Suns,100,,,,,,
Oklahoma City Thunder,115,Utah Jazz,108,,,,,,
Detroit Pistons,97,Golden State Warriors,101,,,,,,
New Jersey Nets,110,Los Angeles Clippers,96,,,,,,
Philadelphia 76ers,93,Cleveland Cavaliers,101,,,,,,
Atlanta Hawks,102,Indiana Pacers,92,,,,,,
Toronto Raptors,94,Washington Wizards,109,,,,,,
Portland Trail Blazers,100,Memphis Grizzlies,99,,,,,,
Los Angeles Lakers,118,Milwaukee Bucks,107,,,,,,
Chicago Bulls,95,Houston Rockets,92,,,,,,
New York Knicks,118,Denver Nuggets,120,,,,,,
Phoenix Suns,96,Miami Heat,123,,,,,,
Toronto Raptors,94,Philadelphia 76ers,86,,,,,,
Washington Wizards,83,Boston Celtics,114,,,,,,
Los Angeles Lakers,103,Detroit Pistons,90,,,,,,
Los Angeles Clippers,111,Minnesota Timberwolves,113,,,,,,
Dallas Mavericks,97,New Orleans Hornets,99,,,,,,
Houston Rockets,99,Oklahoma City Thunder,116,,,,,,
New Jersey Nets,88,Utah Jazz,98,,,,,,
Chicago Bulls,94,San Antonio Spurs,103,,,,,,
New York Knicks,113,Sacramento Kings,106,,,,,,
Los Angeles Clippers,80,Indiana Pacers,107,,,,,,
Phoenix Suns,89,Orlando Magic,105,,,,,,
Denver Nuggets,83,Portland Trail Blazers,86,,,,,,
Oklahoma City Thunder,89,Boston Celtics,84,,,,,,
Milwaukee Bucks,79,Philadelphia 76ers,90,,,,,,
Houston Rockets,96,Toronto Raptors,106,,,,,,
Memphis Grizzlies,86,Washington Wizards,89,,,,,,
Charlotte Bobcats,87,Miami Heat,95,,,,,,
Los Angeles Lakers,112,Minnesota Timberwolves,95,,,,,,
Cleveland Cavaliers,101,New Orleans Hornets,108,,,,,,
San Antonio Spurs,94,Utah Jazz,82,,,,,,
Chicago Bulls,88,Dallas Mavericks,83,,,,,,
New Jersey Nets,81,Sacramento Kings,86,,,,,,
New York Knicks,125,Golden State Warriors,119,,,,,,
Phoenix Suns,105,Charlotte Bobcats,123,,,,,,
Orlando Magic,90,Indiana Pacers,86,,,,,,
Dallas Mavericks,98,Atlanta Hawks,93,,,,,,
Miami Heat,95,Memphis Grizzlies,97,,,,,,
Oklahoma City Thunder,82,Milwaukee Bucks,81,,,,,,
Cleveland Cavaliers,92,San Antonio Spurs,116,,,,,,
New Jersey Nets,103,Denver Nuggets,107,,,,,,
