Visitor/Neutral,PTS,Home/Neutral,PTS,,,,,,
Utah Jazz,89,Portland Trail Blazers,100,,,,,,
New Orleans Hornets,83,Boston Celtics,81,,,,,,
Golden State Warriors,96,Charlotte Bobcats,95,,,,,,
New Jersey Nets,81,Chicago Bulls,90,,,,,,
Washington Wizards,86,Indiana Pacers,95,,,,,,
Toronto Raptors,105,Houston Rockets,114,,,,,,
Atlanta Hawks,94,Oklahoma City Thunder,103,,,,,,
Detroit Pistons,75,Phoenix Suns,92,,,,,,
Philadelphia 76ers,98,Los Angeles Lakers,102,,,,,,
Cleveland Cavaliers,91,Chicago Bulls,100,,,,,,
New Orleans Hornets,92,Washington Wizards,81,,,,,,
Golden State Warriors,107,Miami Heat,114,,,,,,
New Jersey Nets,88,Minnesota Timberwolves,103,,,,,,
Oklahoma City Thunder,74,San Antonio Spurs,101,,,,,,
Sacramento Kings,86,Denver Nuggets,104,,,,,,
Dallas Mavericks,87,Milwaukee Bucks,99,,,,,,
Memphis Grizzlies,92,Utah Jazz,98,,,,,,
Indiana Pacers,92,New York Knicks,98,,,,,,
Atlanta Hawks,107,Los Angeles Clippers,98,,,,,,
Boston Celtics,93,Toronto Raptors,79,,,,,,
Dallas Mavericks,104,Cleveland Cavaliers,95,,,,,,
Houston Rockets,85,Portland Trail Blazers,100,,,,,,
Phoenix Suns,89,Sacramento Kings,94,,,,,,
Memphis Grizzlies,104,Los Angeles Lakers,85,,,,,,
Miami Heat,96,Charlotte Bobcats,82,,,,,,
Golden State Warriors,90,Orlando Magic,110,,,,,,
Minnesota Timberwolves,93,Boston Celtics,96,,,,,,
Philadelphia 76ers,77,New Orleans Hornets,84,,,,,,
Houston Rockets,106,Denver Nuggets,113,,,,,,
Detroit Pistons,97,Utah Jazz,102,,,,,,
Milwaukee Bucks,89,Miami Heat,101,,,,,,
San Antonio Spurs,115,New York Knicks,128,,,,,,
Toronto Raptors,91,Chicago Bulls,111,,,,,,
Oklahoma City Thunder,105,Memphis Grizzlies,110,,,,,,
Portland Trail Blazers,81,Dallas Mavericks,84,,,,,,
Atlanta Hawks,108,Sacramento Kings,102,,,,,,
Detroit Pistons,83,Los Angeles Lakers,108,,,,,,
Toronto Raptors,120,Cleveland Cavaliers,105,,,,,,
Chicago Bulls,94,New Jersey Nets,96,,,,,,
Milwaukee Bucks,87,Orlando Magic,97,,,,,,
Washington Wizards,97,Philadelphia 76ers,109,,,,,,
San Antonio Spurs,103,Boston Celtics,105,,,,,,
Charlotte Bobcats,108,Minnesota Timberwolves,105,,,,,,
Golden State Warriors,110,New Orleans Hornets,103,,,,,,
Portland Trail Blazers,103,Houston Rockets,100,,,,,,
Atlanta Hawks,110,Utah Jazz,87,,,,,,
Denver Nuggets,93,Los Angeles Clippers,106,,,,,,
Los Angeles Lakers,99,Phoenix Suns,95,,,,,,
Oklahoma City Thunder,99,Dallas Mavericks,95,,,,,,
Denver Nuggets,102,Sacramento Kings,122,,,,,,
San Antonio Spurs,90,Indiana Pacers,87,,,,,,
Chicago Bulls,99,Philadelphia 76ers,105,,,,,,
New Jersey Nets,77,Washington Wizards,97,,,,,,
Toronto Raptors,102,Boston Celtics,122,,,,,,
Utah Jazz,99,Memphis Grizzlies,110,,,,,,
Portland Trail Blazers,108,Minnesota Timberwolves,98,,,,,,
Houston Rockets,95,Orlando Magic,110,,,,,,
Miami Heat,101,Milwaukee Bucks,95,,,,,,
Cleveland Cavaliers,98,Golden State Warriors,116,,,,,,
New Orleans Hornets,97,Los Angeles Lakers,101,,,,,,
New York Knicks,121,Phoenix Suns,96,,,,,,
Indiana Pacers,93,Atlanta Hawks,108,,,,,,
Washington Wizards,89,Charlotte Bobcats,104,,,,,,
Milwaukee Bucks,115,New Jersey Nets,92,,,,,,
Philadelphia 76ers,109,Detroit Pistons,112,,,,,,
Boston Celtics,79,Chicago Bulls,90,,,,,,
Memphis Grizzlies,100,Oklahoma City Thunder,109,,,,,,
Orlando Magic,117,Dallas Mavericks,107,,,,,,
Utah Jazz,103,Houston Rockets,99,,,,,,
Sacramento Kings,112,Toronto Raptors,118,,,,,,
Golden State Warriors,91,Los Angeles Clippers,105,,,,,,
Minnesota Timberwolves,91,San Antonio Spurs,94,,,,,,
Cleveland Cavaliers,100,Phoenix Suns,108,,,,,,
New Orleans Hornets,96,Denver Nuggets,87,,,,,,
Miami Heat,107,Portland Trail Blazers,100,,,,,,
New York Knicks,87,Los Angeles Lakers,109,,,,,,
Memphis Grizzlies,82,Charlotte Bobcats,96,,,,,,
Houston Rockets,108,Boston Celtics,102,,,,,,
Detroit Pistons,82,Chicago Bulls,95,,,,,,
Indiana Pacers,111,Philadelphia 76ers,103,,,,,,
Sacramento Kings,133,Washington Wizards,136,,,,,,
San Antonio Spurs,107,Minnesota Timberwolves,96,,,,,,
Phoenix Suns,98,Denver Nuggets,132,,,,,,
New York Knicks,100,Portland Trail Blazers,86,,,,,,
Cleveland Cavaliers,57,Los Angeles Lakers,112,,,,,,
Chicago Bulls,91,Charlotte Bobcats,96,,,,,,
Dallas Mavericks,89,Indiana Pacers,102,,,,,,
Atlanta Hawks,104,Toronto Raptors,101,,,,,,
Sacramento Kings,95,Boston Celtics,119,,,,,,
Memphis Grizzlies,107,Detroit Pistons,99,,,,,,
San Antonio Spurs,91,Milwaukee Bucks,84,,,,,,
Orlando Magic,89,New Orleans Hornets,92,,,,,,
Oklahoma City Thunder,118,Houston Rockets,112,,,,,,
New Jersey Nets,109,Phoenix Suns,118,,,,,,
New York Knicks,125,Utah Jazz,131,,,,,,
Los Angeles Lakers,115,Golden State Warriors,110,,,,,,
Miami Heat,105,Los Angeles Clippers,111,,,,,,
Washington Wizards,97,Minnesota Timberwolves,109,,,,,,
Orlando Magic,124,Oklahoma City Thunder,125,,,,,,
Miami Heat,102,Denver Nuggets,130,,,,,,
Chicago Bulls,99,Indiana Pacers,86,,,,,,
Milwaukee Bucks,94,Philadelphia 76ers,95,,,,,,
Detroit Pistons,101,Toronto Raptors,95,,,,,,
Charlotte Bobcats,94,Boston Celtics,99,,,,,,
Sacramento Kings,93,New York Knicks,83,,,,,,
Dallas Mavericks,89,San Antonio Spurs,101,,,,,,
New Orleans Hornets,110,Houston Rockets,105,,,,,,
Cleveland Cavaliers,99,Utah Jazz,121,,,,,,
Los Angeles Clippers,112,Golden State Warriors,122,,,,,,
New Jersey Nets,88,Los Angeles Lakers,100,,,,,,
Portland Trail Blazers,111,Phoenix Suns,115,,,,,,
Houston Rockets,112,Atlanta Hawks,106,,,,,,
New Orleans Hornets,88,Charlotte Bobcats,81,,,,,,
Toronto Raptors,95,Washington Wizards,98,,,,,,
Sacramento Kings,106,Detroit Pistons,110,,,,,,
Miami Heat,96,Chicago Bulls,99,,,,,,
Dallas Mavericks,70,Memphis Grizzlies,89,,,,,,
Orlando Magic,108,Minnesota Timberwolves,99,,,,,,
Cleveland Cavaliers,99,Denver Nuggets,127,,,,,,
New Jersey Nets,89,Portland Trail Blazers,96,,,,,,
Los Angeles Lakers,92,Los Angeles Clippers,99,,,,,,
Denver Nuggets,97,San Antonio Spurs,110,,,,,,
Chicago Bulls,96,Memphis Grizzlies,84,,,,,,
Phoenix Suns,129,New York Knicks,121,,,,,,
Utah Jazz,101,Washington Wizards,108,,,,,,
Charlotte Bobcats,92,Philadelphia 76ers,96,,,,,,
Milwaukee Bucks,84,Houston Rockets,93,,,,,,
Toronto Raptors,81,New Orleans Hornets,85,,,,,,
Dallas Mavericks,89,Detroit Pistons,103,,,,,,
Indiana Pacers,107,Los Angeles Clippers,114,,,,,,
Sacramento Kings,98,Atlanta Hawks,100,,,,,,
New Jersey Nets,100,Golden State Warriors,109,,,,,,
Orlando Magic,106,Boston Celtics,109,,,,,,
Minnesota Timberwolves,102,Portland Trail Blazers,113,,,,,,
Oklahoma City Thunder,94,Los Angeles Lakers,101,,,,,,
Atlanta Hawks,93,Miami Heat,89,,,,,,
Charlotte Bobcats,83,Chicago Bulls,82,,,,,,
Phoenix Suns,106,Cleveland Cavaliers,98,,,,,,
Utah Jazz,95,New Jersey Nets,103,,,,,,
Philadelphia 76ers,98,Orlando Magic,99,,,,,,
Detroit Pistons,82,Boston Celtics,86,,,,,,
Washington Wizards,87,Milwaukee Bucks,100,,,,,,
Memphis Grizzlies,102,New Orleans Hornets,103,,,,,,
New York Knicks,89,Houston Rockets,104,,,,,,
Toronto Raptors,95,San Antonio Spurs,104,,,,,,
Los Angeles Lakers,100,Dallas Mavericks,109,,,,,,
Oklahoma City Thunder,107,Denver Nuggets,112,,,,,,
Portland Trail Blazers,94,Sacramento Kings,90,,,,,,
Indiana Pacers,108,Golden State Warriors,110,,,,,,
Minnesota Timberwolves,111,Los Angeles Clippers,126,,,,,,
Philadelphia 76ers,97,Charlotte Bobcats,100,,,,,,
Dallas Mavericks,77,Chicago Bulls,82,,,,,,
Los Angeles Clippers,93,Portland Trail Blazers,108,,,,,,
Detroit Pistons,74,New Jersey Nets,89,,,,,,
Toronto Raptors,72,Orlando Magic,112,,,,,,
Phoenix Suns,109,Washington Wizards,91,,,,,,
New Orleans Hornets,100,Atlanta Hawks,59,,,,,,
Utah Jazz,86,Boston Celtics,110,,,,,,
Milwaukee Bucks,102,Cleveland Cavaliers,88,,,,,,
Houston Rockets,110,Memphis Grizzlies,115,,,,,,
New York Knicks,92,San Antonio Spurs,101,,,,,,
Los Angeles Lakers,107,Denver Nuggets,97,,,,,,
Sacramento Kings,112,Golden State Warriors,119,,,,,,
Atlanta Hawks,103,Charlotte Bobcats,87,,,,,,
Dallas Mavericks,87,New Jersey Nets,86,,,,,,
Boston Celtics,83,Washington Wizards,85,,,,,,
Phoenix Suns,74,Detroit Pistons,75,,,,,,
Toronto Raptors,103,Miami Heat,120,,,,,,
Utah Jazz,85,Philadelphia 76ers,96,,,,,,
Cleveland Cavaliers,79,Chicago Bulls,92,,,,,,
San Antonio Spurs,72,New Orleans Hornets,96,,,,,,
New York Knicks,98,Oklahoma City Thunder,101,,,,,,
Orlando Magic,118,Houston Rockets,104,,,,,,
Memphis Grizzlies,94,Milwaukee Bucks,81,,,,,,
Indiana Pacers,92,Portland Trail Blazers,97,,,,,,
Golden State Warriors,109,Los Angeles Clippers,113,,,,,,
Indiana Pacers,107,Denver Nuggets,121,,,,,,
Cleveland Cavaliers,101,New Jersey Nets,103,,,,,,
Detroit Pistons,103,Orlando Magic,96,,,,,,
Phoenix Suns,95,Philadelphia 76ers,105,,,,,,
Memphis Grizzlies,100,Toronto Raptors,98,,,,,,
Washington Wizards,106,New York Knicks,115,,,,,,
Milwaukee Bucks,83,Chicago Bulls,92,,,,,,
Houston Rockets,129,Minnesota Timberwolves,125,,,,,,
Oklahoma City Thunder,89,New Orleans Hornets,91,,,,,,
Sacramento Kings,96,Portland Trail Blazers,81,,,,,,
San Antonio Spurs,113,Golden State Warriors,102,,,,,,
Denver Nuggets,120,Washington Wizards,109,,,,,,
Cleveland Cavaliers,95,Boston Celtics,112,,,,,,
Los Angeles Clippers,105,Dallas Mavericks,112,,,,,,
Charlotte Bobcats,94,Sacramento Kings,89,,,,,,
Utah Jazz,91,Los Angeles Lakers,120,,,,,,
Orlando Magic,111,Indiana Pacers,96,,,,,,
Memphis Grizzlies,88,New Jersey Nets,93,,,,,,
Philadelphia 76ers,107,Toronto Raptors,94,,,,,,
Denver Nuggets,109,Detroit Pistons,100,,,,,,
Atlanta Hawks,90,Milwaukee Bucks,98,,,,,,
Oklahoma City Thunder,118,Minnesota Timberwolves,117,,,,,,
Los Angeles Clippers,83,Houston Rockets,96,,,,,,
Charlotte Bobcats,114,Phoenix Suns,107,,,,,,
San Antonio Spurs,112,Utah Jazz,105,,,,,,
New Orleans Hornets,112,Golden State Warriors,103,,,,,,
Miami Heat,88,New York Knicks,93,,,,,,
Houston Rockets,106,Dallas Mavericks,111,,,,,,
Boston Celtics,88,Portland Trail Blazers,78,,,,,,
New Jersey Nets,92,Indiana Pacers,124,,,,,,
Memphis Grizzlies,99,Philadelphia 76ers,94,,,,,,
Milwaukee Bucks,116,Toronto Raptors,110,,,,,,
New York Knicks,102,Atlanta Hawks,111,,,,,,
Denver Nuggets,117,Cleveland Cavaliers,103,,,,,,
Detroit Pistons,87,Miami Heat,88,,,,,,
Orlando Magic,90,Chicago Bulls,99,,,,,,
Washington Wizards,117,Oklahoma City Thunder,124,,,,,,
Minnesota Timberwolves,100,Utah Jazz,108,,,,,,
Charlotte Bobcats,121,Golden State Warriors,113,,,,,,
Sacramento Kings,100,Los Angeles Lakers,95,,,,,,
Boston Celtics,71,Phoenix Suns,88,,,,,,
Indiana Pacers,89,Chicago Bulls,110,,,,,,
Washington Wizards,93,Memphis Grizzlies,107,,,,,,
Toronto Raptors,87,Minnesota Timberwolves,103,,,,,,
Atlanta Hawks,91,Dallas Mavericks,102,,,,,,
New Jersey Nets,81,Milwaukee Bucks,91,,,,,,
Houston Rockets,95,San Antonio Spurs,108,,,,,,
New Orleans Hornets,96,Sacramento Kings,102,,,,,,
Charlotte Bobcats,88,Los Angeles Clippers,103,,,,,,
Miami Heat,108,Oklahoma City Thunder,103,,,,,,
Boston Celtics,109,Los Angeles Lakers,96,,,,,,
Cleveland Cavaliers,87,Orlando Magic,103,,,,,,
Denver Nuggets,99,Philadelphia 76ers,110,,,,,,
Detroit Pistons,106,New York Knicks,124,,,,,,
New Orleans Hornets,102,Phoenix Suns,104,,,,,,
Utah Jazz,81,Golden State Warriors,96,,,,,,
Toronto Raptors,93,Indiana Pacers,104,,,,,,
Denver Nuggets,99,New Jersey Nets,115,,,,,,
Cleveland Cavaliers,90,Miami Heat,117,,,,,,
Orlando Magic,97,Memphis Grizzlies,100,,,,,,
Washington Wizards,92,Dallas Mavericks,102,,,,,,
Charlotte Bobcats,78,Utah Jazz,83,,,,,,
Milwaukee Bucks,98,Los Angeles Clippers,105,,,,,,
Washington Wizards,89,New Orleans Hornets,97,,,,,,
San Antonio Spurs,86,Portland Trail Blazers,99,,,,,,
Boston Celtics,95,Sacramento Kings,90,,,,,,
Houston Rockets,106,Los Angeles Lakers,114,,,,,,
Toronto Raptors,87,Atlanta Hawks,100,,,,,,
Indiana Pacers,117,Cleveland Cavaliers,112,,,,,,
Philadelphia 76ers,106,New Jersey Nets,92,,,,,,
Charlotte Bobcats,97,Detroit Pistons,87,,,,,,
Dallas Mavericks,113,New York Knicks,97,,,,,,
Memphis Grizzlies,102,Minnesota Timberwolves,84,,,,,,
New Orleans Hornets,93,Oklahoma City Thunder,104,,,,,,
Portland Trail Blazers,90,Denver Nuggets,109,,,,,,
Milwaukee Bucks,77,Phoenix Suns,92,,,,,,
Houston Rockets,97,Utah Jazz,96,,,,,,
Chicago Bulls,106,Los Angeles Clippers,88,,,,,,
Miami Heat,104,Orlando Magic,100,,,,,,
Milwaukee Bucks,94,Golden State Warriors,100,,,,,,
San Antonio Spurs,89,Los Angeles Lakers,88,,,,,,
Miami Heat,109,Charlotte Bobcats,97,,,,,,
Portland Trail Blazers,87,Indiana Pacers,100,,,,,,
New York Knicks,98,Philadelphia 76ers,100,,,,,,
Minnesota Timberwolves,100,Toronto Raptors,111,,,,,,
Orlando Magic,110,Washington Wizards,92,,,,,,
Los Angeles Clippers,100,Atlanta Hawks,101,,,,,,
New Jersey Nets,82,Detroit Pistons,92,,,,,,
Dallas Mavericks,101,Boston Celtics,97,,,,,,
Cleveland Cavaliers,105,Memphis Grizzlies,112,,,,,,
Oklahoma City Thunder,111,Phoenix Suns,107,,,,,,
San Antonio Spurs,113,Sacramento Kings,100,,,,,,
Utah Jazz,113,Denver Nuggets,106,,,,,,
Dallas Mavericks,101,Charlotte Bobcats,92,,,,,,
Atlanta Hawks,99,Washington Wizards,92,,,,,,
Portland Trail Blazers,111,Cleveland Cavaliers,105,,,,,,
Los Angeles Lakers,101,New Orleans Hornets,95,,,,,,
Memphis Grizzlies,93,Houston Rockets,95,,,,,,
Detroit Pistons,89,Milwaukee Bucks,78,,,,,,
Denver Nuggets,113,Minnesota Timberwolves,100,,,,,,
Oklahoma City Thunder,121,Utah Jazz,105,,,,,,
Chicago Bulls,90,Golden State Warriors,101,,,,,,
Los Angeles Clippers,79,Miami Heat,97,,,,,,
Indiana Pacers,105,New Jersey Nets,86,,,,,,
Philadelphia 76ers,103,New York Knicks,117,,,,,,
Orlando Magic,80,Boston Celtics,91,,,,,,
Boston Celtics,89,Charlotte Bobcats,94,,,,,,
Los Angeles Lakers,93,Memphis Grizzlies,84,,,,,,
Minnesota Timberwolves,104,New Orleans Hornets,92,,,,,,
Cleveland Cavaliers,96,Dallas Mavericks,99,,,,,,
Houston Rockets,108,Denver Nuggets,103,,,,,,
Chicago Bulls,103,Portland Trail Blazers,109,,,,,,
Utah Jazz,107,Sacramento Kings,104,,,,,,
Phoenix Suns,104,Golden State Warriors,92,,,,,,
Philadelphia 76ers,117,Atlanta Hawks,83,,,,,,
Los Angeles Clippers,85,Orlando Magic,101,,,,,,
San Antonio Spurs,100,Detroit Pistons,89,,,,,,
Indiana Pacers,112,Miami Heat,117,,,,,,
Toronto Raptors,74,Milwaukee Bucks,92,,,,,,
Memphis Grizzlies,105,Oklahoma City Thunder,101,,,,,,
Minnesota Timberwolves,112,Houston Rockets,108,,,,,,
Detroit Pistons,103,Cleveland Cavaliers,94,,,,,,
Charlotte Bobcats,103,Indiana Pacers,104,,,,,,
New Orleans Hornets,101,New Jersey Nets,103,,,,,,
Orlando Magic,99,Philadelphia 76ers,95,,,,,,
San Antonio Spurs,111,Toronto Raptors,100,,,,,,
Milwaukee Bucks,85,Washington Wizards,100,,,,,,
Los Angeles Clippers,116,New York Knicks,108,,,,,,
Chicago Bulls,91,Utah Jazz,86,,,,,,
Dallas Mavericks,102,Sacramento Kings,100,,,,,,
Denver Nuggets,114,Golden State Warriors,116,,,,,,
Los Angeles Lakers,92,Boston Celtics,86,,,,,,
Golden State Warriors,88,Phoenix Suns,112,,,,,,
Dallas Mavericks,120,Denver Nuggets,121,,,,,,
New Jersey Nets,94,Charlotte Bobcats,89,,,,,,
Minnesota Timberwolves,105,Indiana Pacers,116,,,,,,
New Orleans Hornets,99,Orlando Magic,93,,,,,,
San Antonio Spurs,71,Philadelphia 76ers,77,,,,,,
Portland Trail Blazers,102,Toronto Raptors,96,,,,,,
Los Angeles Clippers,119,Cleveland Cavaliers,126,,,,,,
Miami Heat,106,Detroit Pistons,92,,,,,,
Milwaukee Bucks,86,Memphis Grizzlies,89,,,,,,
Los Angeles Lakers,113,New York Knicks,96,,,,,,
Phoenix Suns,95,Utah Jazz,83,,,,,,
Charlotte Bobcats,88,Atlanta Hawks,86,,,,,,
New York Knicks,105,New Jersey Nets,95,,,,,,
Philadelphia 76ers,107,Minnesota Timberwolves,87,,,,,,
Chicago Bulls,97,New Orleans Hornets,88,,,,,,
San Antonio Spurs,118,Washington Wizards,94,,,,,,
Dallas Mavericks,106,Houston Rockets,102,,,,,,
Indiana Pacers,103,Milwaukee Bucks,97,,,,,,
Oklahoma City Thunder,99,Sacramento Kings,97,,,,,,
Miami Heat,82,Boston Celtics,85,,,,,,
Los Angeles Lakers,75,Orlando Magic,89,,,,,,
Washington Wizards,115,Cleveland Cavaliers,100,,,,,,
Portland Trail Blazers,105,Detroit Pistons,100,,,,,,
Denver Nuggets,108,Memphis Grizzlies,116,,,,,,
Los Angeles Clippers,93,Toronto Raptors,98,,,,,,
Oklahoma City Thunder,94,Golden State Warriors,100,,,,,,
Sacramento Kings,113,Phoenix Suns,108,,,,,,
Los Angeles Lakers,89,Charlotte Bobcats,109,,,,,,
San Antonio Spurs,102,New Jersey Nets,85,,,,,,
Atlanta Hawks,94,Detroit Pistons,79,,,,,,
Los Angeles Clippers,78,Milwaukee Bucks,102,,,,,,
Portland Trail Blazers,95,Minnesota Timberwolves,81,,,,,,
Denver Nuggets,102,Houston Rockets,121,,,,,,
Miami Heat,110,Indiana Pacers,103,,,,,,
Charlotte Bobcats,94,Chicago Bulls,106,,,,,,
Philadelphia 76ers,91,Memphis Grizzlies,102,,,,,,
Sacramento Kings,96,Oklahoma City Thunder,126,,,,,,
Utah Jazz,101,Phoenix Suns,102,,,,,,
New Orleans Hornets,89,Golden State Warriors,102,,,,,,
Washington Wizards,76,Orlando Magic,101,,,,,,
Miami Heat,103,Toronto Raptors,95,,,,,,
New Jersey Nets,80,Boston Celtics,94,,,,,,
Los Angeles Lakers,99,Cleveland Cavaliers,104,,,,,,
Indiana Pacers,109,Detroit Pistons,115,,,,,,
Atlanta Hawks,90,New York Knicks,102,,,,,,
Los Angeles Clippers,98,Minnesota Timberwolves,90,,,,,,
Sacramento Kings,100,Dallas Mavericks,116,,,,,,
Philadelphia 76ers,114,Houston Rockets,105,,,,,,
Denver Nuggets,94,Milwaukee Bucks,87,,,,,,
Golden State Warriors,107,Utah Jazz,100,,,,,,
New Orleans Hornets,96,Portland Trail Blazers,103,,,,,,
San Antonio Spurs,99,Chicago Bulls,109,,,,,,
Dallas Mavericks,112,Phoenix Suns,106,,,,,,
Toronto Raptors,101,Charlotte Bobcats,114,,,,,,
Indiana Pacers,113,Washington Wizards,96,,,,,,
Houston Rockets,108,Detroit Pistons,100,,,,,,
Sacramento Kings,97,Miami Heat,117,,,,,,
Minnesota Timberwolves,88,Milwaukee Bucks,94,,,,,,
Los Angeles Clippers,88,Oklahoma City Thunder,111,,,,,,
Memphis Grizzlies,107,Denver Nuggets,120,,,,,,
Boston Celtics,115,Golden State Warriors,93,,,,,,
Atlanta Hawks,80,Los Angeles Lakers,104,,,,,,
Houston Rockets,124,Cleveland Cavaliers,119,,,,,,
Detroit Pistons,101,Indiana Pacers,102,,,,,,
Sacramento Kings,111,Orlando Magic,105,,,,,,
Washington Wizards,94,Philadelphia 76ers,117,,,,,,
Oklahoma City Thunder,105,San Antonio Spurs,109,,,,,,
Chicago Bulls,113,Toronto Raptors,118,,,,,,
Milwaukee Bucks,108,New York Knicks,114,,,,,,
Memphis Grizzlies,104,Minnesota Timberwolves,95,,,,,,
Utah Jazz,99,Dallas Mavericks,118,,,,,,
Atlanta Hawks,97,Phoenix Suns,105,,,,,,
Los Angeles Clippers,87,New Orleans Hornets,98,,,,,,
Los Angeles Lakers,106,Portland Trail Blazers,101,,,,,,
Miami Heat,89,Chicago Bulls,93,,,,,,
Boston Celtics,75,Denver Nuggets,89,,,,,,
Sacramento Kings,98,Charlotte Bobcats,110,,,,,,
Utah Jazz,95,Indiana Pacers,84,,,,,,
Detroit Pistons,94,Philadelphia 76ers,110,,,,,,
Phoenix Suns,110,Toronto Raptors,92,,,,,,
New York Knicks,109,Cleveland Cavaliers,115,,,,,,
Washington Wizards,113,Miami Heat,121,,,,,,
New Orleans Hornets,95,Minnesota Timberwolves,81,,,,,,
Oklahoma City Thunder,88,Orlando Magic,111,,,,,,
New Jersey Nets,96,San Antonio Spurs,106,,,,,,
Atlanta Hawks,95,Golden State Warriors,79,,,,,,
Los Angeles Clippers,95,Los Angeles Lakers,108,,,,,,
Denver Nuggets,106,Portland Trail Blazers,107,,,,,,
Utah Jazz,116,Detroit Pistons,120,,,,,,
Sacramento Kings,92,Memphis Grizzlies,120,,,,,,
Dallas Mavericks,105,Washington Wizards,99,,,,,,
New Jersey Nets,108,Houston Rockets,123,,,,,,
Chicago Bulls,83,Milwaukee Bucks,75,,,,,,
Boston Celtics,99,Los Angeles Clippers,92,,,,,,
Phoenix Suns,110,Indiana Pacers,108,,,,,,
Los Angeles Lakers,90,Oklahoma City Thunder,87,,,,,,
Philadelphia 76ers,95,Cleveland Cavaliers,91,,,,,,
Golden State Warriors,123,Minnesota Timberwolves,126,,,,,,
Charlotte Bobcats,86,Orlando Magic,100,,,,,,
Dallas Mavericks,114,Toronto Raptors,96,,,,,,
Houston Rockets,91,New Orleans Hornets,89,,,,,,
Memphis Grizzlies,88,San Antonio Spurs,95,,,,,,
New York Knicks,91,Miami Heat,86,,,,,,
Atlanta Hawks,90,Portland Trail Blazers,83,,,,,,
Phoenix Suns,104,New Jersey Nets,103,,,,,,
Chicago Bulls,105,Washington Wizards,77,,,,,,
Atlanta Hawks,90,Denver Nuggets,100,,,,,,
Boston Celtics,107,Utah Jazz,102,,,,,,
Los Angeles Clippers,99,Sacramento Kings,105,,,,,,
Golden State Warriors,100,Indiana Pacers,109,,,,,,
New York Knicks,110,Orlando Magic,116,,,,,,
Dallas Mavericks,101,Philadelphia 76ers,93,,,,,,
New Orleans Hornets,90,Toronto Raptors,96,,,,,,
San Antonio Spurs,93,Memphis Grizzlies,109,,,,,,
Detroit Pistons,90,Milwaukee Bucks,92,,,,,,
Los Angeles Lakers,90,Minnesota Timberwolves,79,,,,,,
Houston Rockets,103,Portland Trail Blazers,87,,,,,,
Chicago Bulls,80,Atlanta Hawks,83,,,,,,
San Antonio Spurs,109,Cleveland Cavaliers,99,,,,,,
Golden State Warriors,106,Washington Wizards,102,,,,,,
Phoenix Suns,103,Boston Celtics,115,,,,,,
Minnesota Timberwolves,116,Detroit Pistons,105,,,,,,
New Orleans Hornets,88,New York Knicks,107,,,,,,
Indiana Pacers,89,Oklahoma City Thunder,113,,,,,,
Charlotte Bobcats,80,Denver Nuggets,120,,,,,,
Portland Trail Blazers,107,Sacramento Kings,102,,,,,,
Houston Rockets,103,Los Angeles Clippers,106,,,,,,
Orlando Magic,99,Miami Heat,96,,,,,,
Denver Nuggets,103,Utah Jazz,101,,,,,,
Toronto Raptors,103,New Jersey Nets,116,,,,,,
Chicago Bulls,89,Orlando Magic,81,,,,,,
Minnesota Timberwolves,100,Philadelphia 76ers,111,,,,,,
Oklahoma City Thunder,111,Atlanta Hawks,104,,,,,,
Golden State Warriors,103,Boston Celtics,107,,,,,,
Cleveland Cavaliers,119,New York Knicks,115,,,,,,
New Orleans Hornets,98,Memphis Grizzlies,91,,,,,,
Indiana Pacers,108,Dallas Mavericks,116,,,,,,
Phoenix Suns,102,Milwaukee Bucks,88,,,,,,
Miami Heat,95,San Antonio Spurs,125,,,,,,
Charlotte Bobcats,84,Los Angeles Lakers,92,,,,,,
Toronto Raptors,136,New Jersey Nets,137,,,,,,
Minnesota Timberwolves,96,Washington Wizards,103,,,,,,
Indiana Pacers,95,Houston Rockets,112,,,,,,
Sacramento Kings,102,Utah Jazz,109,,,,,,
Charlotte Bobcats,69,Portland Trail Blazers,93,,,,,,
Denver Nuggets,94,Los Angeles Clippers,100,,,,,,
Chicago Bulls,87,Miami Heat,86,,,,,,
Los Angeles Lakers,99,San Antonio Spurs,83,,,,,,
Washington Wizards,102,Detroit Pistons,113,,,,,,
Golden State Warriors,117,Philadelphia 76ers,125,,,,,,
New York Knicks,92,Atlanta Hawks,79,,,,,,
New Orleans Hornets,96,Cleveland Cavaliers,81,,,,,,
Phoenix Suns,118,Oklahoma City Thunder,122,,,,,,
Memphis Grizzlies,104,Dallas Mavericks,103,,,,,,
Boston Celtics,89,Milwaukee Bucks,83,,,,,,
Los Angeles Clippers,92,Charlotte Bobcats,87,,,,,,
Portland Trail Blazers,89,Orlando Magic,85,,,,,,
Utah Jazz,109,New York Knicks,131,,,,,,
New Orleans Hornets,77,Chicago Bulls,85,,,,,,
Oklahoma City Thunder,101,Memphis Grizzlies,107,,,,,,
Dallas Mavericks,108,Minnesota Timberwolves,105,,,,,,
Houston Rockets,123,Sacramento Kings,101,,,,,,
Los Angeles Lakers,101,Atlanta Hawks,87,,,,,,
Golden State Warriors,95,Cleveland Cavaliers,85,,,,,,
Philadelphia 76ers,110,Indiana Pacers,100,,,,,,
Milwaukee Bucks,95,Washington Wizards,76,,,,,,
Portland Trail Blazers,105,Miami Heat,96,,,,,,
Houston Rockets,110,Phoenix Suns,113,,,,,,
Chicago Bulls,101,Charlotte Bobcats,84,,,,,,
